iso,country,country-code,year,gdp_per_c,Scenario
OMN,Oman,512,2023,-0.0081586,SSP1-2.6
OMN,Oman,512,2024,-0.009566700000000001,SSP1-2.6
OMN,Oman,512,2025,-0.0109899,SSP1-2.6
OMN,Oman,512,2026,-0.012425199999999999,SSP1-2.6
OMN,Oman,512,2027,-0.0138708,SSP1-2.6
OMN,Oman,512,2028,-0.0153258,SSP1-2.6
OMN,Oman,512,2029,-0.0167897,SSP1-2.6
OMN,Oman,512,2030,-0.018262,SSP1-2.6
OMN,Oman,512,2031,-0.0197428,SSP1-2.6
OMN,Oman,512,2032,-0.0212318,SSP1-2.6
OMN,Oman,512,2033,-0.022729,SSP1-2.6
OMN,Oman,512,2034,-0.0242343,SSP1-2.6
OMN,Oman,512,2035,-0.0257477,SSP1-2.6
OMN,Oman,512,2036,-0.0272692,SSP1-2.6
OMN,Oman,512,2037,-0.0287989,SSP1-2.6
OMN,Oman,512,2038,-0.030336600000000002,SSP1-2.6
OMN,Oman,512,2039,-0.031882299999999995,SSP1-2.6
OMN,Oman,512,2040,-0.033436099999999996,SSP1-2.6
OMN,Oman,512,2041,-0.0349979,SSP1-2.6
OMN,Oman,512,2042,-0.0365677,SSP1-2.6
OMN,Oman,512,2043,-0.0381456,SSP1-2.6
OMN,Oman,512,2044,-0.0397315,SSP1-2.6
OMN,Oman,512,2045,-0.0413254,SSP1-2.6
OMN,Oman,512,2046,-0.04292719999999,SSP1-2.6
OMN,Oman,512,2047,-0.0445371,SSP1-2.6
OMN,Oman,512,2048,-0.0461549,SSP1-2.6
OMN,Oman,512,2049,-0.0477807,SSP1-2.6
OMN,Oman,512,2050,-0.0494144,SSP1-2.6
OMN,Oman,512,2051,-0.0510561,SSP1-2.6
OMN,Oman,512,2052,-0.05270570000000001,SSP1-2.6
OMN,Oman,512,2053,-0.054363199999999993,SSP1-2.6
OMN,Oman,512,2054,-0.0560286,SSP1-2.6
OMN,Oman,512,2055,-0.057702,SSP1-2.6
OMN,Oman,512,2056,-0.0593832,SSP1-2.6
OMN,Oman,512,2057,-0.061072299999999996,SSP1-2.6
OMN,Oman,512,2058,-0.0627692,SSP1-2.6
OMN,Oman,512,2059,-0.064474,SSP1-2.6
OMN,Oman,512,2060,-0.0661867,SSP1-2.6
OMN,Oman,512,2061,-0.0679072,SSP1-2.6
OMN,Oman,512,2062,-0.06963549999999999,SSP1-2.6
OMN,Oman,512,2063,-0.0713717,SSP1-2.6
OMN,Oman,512,2064,-0.07311559999999999,SSP1-2.6
OMN,Oman,512,2065,-0.0748674,SSP1-2.6
OMN,Oman,512,2066,-0.0766269,SSP1-2.6
OMN,Oman,512,2067,-0.07839419999998999,SSP1-2.6
OMN,Oman,512,2068,-0.0801693,SSP1-2.6
OMN,Oman,512,2069,-0.0819522,SSP1-2.6
OMN,Oman,512,2070,-0.08374279999999999,SSP1-2.6
OMN,Oman,512,2071,-0.08554109999999,SSP1-2.6
OMN,Oman,512,2072,-0.0873471,SSP1-2.6
OMN,Oman,512,2073,-0.0891609,SSP1-2.6
OMN,Oman,512,2074,-0.0909823,SSP1-2.6
OMN,Oman,512,2075,-0.09281149999999999,SSP1-2.6
OMN,Oman,512,2076,-0.0946483,SSP1-2.6
OMN,Oman,512,2077,-0.0964928,SSP1-2.6
OMN,Oman,512,2078,-0.0983449,SSP1-2.6
OMN,Oman,512,2079,-0.10020469999999002,SSP1-2.6
OMN,Oman,512,2080,-0.1020721,SSP1-2.6
OMN,Oman,512,2081,-0.1039472,SSP1-2.6
OMN,Oman,512,2082,-0.1058298,SSP1-2.6
OMN,Oman,512,2083,-0.10772010000000001,SSP1-2.6
OMN,Oman,512,2084,-0.109618,SSP1-2.6
OMN,Oman,512,2085,-0.11152339999998999,SSP1-2.6
OMN,Oman,512,2086,-0.11343639999999999,SSP1-2.6
OMN,Oman,512,2087,-0.115357,SSP1-2.6
OMN,Oman,512,2088,-0.11728509999999999,SSP1-2.6
OMN,Oman,512,2089,-0.1192207,SSP1-2.6
OMN,Oman,512,2090,-0.1211639,SSP1-2.6
OMN,Oman,512,2091,-0.1231146,SSP1-2.6
